Area,Company,Date,VarAll,ValueAll
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-03-01,1总产量颗粒料产量,5008.69
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-03-01,1总产量颗粒料产量,5569.87
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-03-01,1总产量颗粒料产量,5124.61
北方区 BAI SHAN LIN,0318渭南正大,2020-03-01,1总产量颗粒料产量,1405.61
中东南区 HUO ER FENG,0403合肥正大,2020-03-01,1总产量颗粒料产量,10638.84
中东南区 HUO ER FENG,0406滁州正大,2020-03-01,1总产量颗粒料产量,3787.38
中东南区 HUO ER FENG,0502开封正大,2020-03-01,1总产量颗粒料产量,7031.9
中东南区 HUO ER FENG,0506驻马店正大,2020-03-01,1总产量颗粒料产量,6892.09
中东南区 HUO ER FENG,0510河南东方,2020-03-01,1总产量颗粒料产量,16404.86
中东南区 HUO ER FENG,0511平顶山正大,2020-03-01,1总产量颗粒料产量,3492.74
中东南区 HUO ER FENG,0560周口正大,2020-03-01,1总产量颗粒料产量,2328.68
中东南区 HUO ER FENG,0518南阳正大,2020-03-01,1总产量颗粒料产量,12892.11
中东南区 HUO ER FENG,0702宁波正大,2020-03-01,1总产量颗粒料产量,9252.85
中东南区 HUO ER FENG,0804福州大福(饲料),2020-03-01,1总产量颗粒料产量,7911.46
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-03-01,1总产量颗粒料产量,4539.25
中东南区 HUO ER FENG,0862海南农牧,2020-03-01,1总产量颗粒料产量,3101.62
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-03-01,1总产量颗粒料产量,20231.86
中南区 ZHOU YONG SHUN,0569武汉水产,2020-03-01,1总产量颗粒料产量,8604.96
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-03-01,1总产量颗粒料产量,3932.94
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-03-01,1总产量颗粒料产量,32169.70004
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-03-01,1总产量颗粒料产量,9167.6
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-03-01,1总产量颗粒料产量,19217.33
中南区 ZHOU YONG SHUN,0572潜江正大,2020-03-01,1总产量颗粒料产量,7221.52
中南区 ZHOU YONG SHUN,0507怀化正大,2020-03-01,1总产量颗粒料产量,19114.949
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-03-01,1总产量颗粒料产量,11426.552
中南区 ZHOU YONG SHUN,0515长沙正大,2020-03-01,1总产量颗粒料产量,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-03-01,1总产量颗粒料产量,1721.17
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-03-01,1总产量颗粒料产量,13868.32
中南区 ZHOU YONG SHUN,0802南昌正大,2020-03-01,1总产量颗粒料产量,5429.58
中南区 ZHOU YONG SHUN,0803九江正大,2020-03-01,1总产量颗粒料产量,6534.748
中南区 ZHOU YONG SHUN,0604南宁正大,2020-03-01,1总产量颗粒料产量,12531.44
中南区 ZHOU YONG SHUN,0661武宣正大,2020-03-01,1总产量颗粒料产量,5726.82
中南区 ZHOU YONG SHUN,0613桂林正大,2020-03-01,1总产量颗粒料产量,5583.48
中南区 ZHOU YONG SHUN,0821阳江正大,2020-03-01,1总产量颗粒料产量,492.83
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-03-01,1总产量颗粒料产量,1096.42
西南区 BAI YU FEI,0601成都正大,2020-03-01,1总产量颗粒料产量,17170.12
西南区 BAI YU FEI,0603昆明正大,2020-03-01,1总产量颗粒料产量,10575.99
西南区 BAI YU FEI,0659大理正大,2020-03-01,1总产量颗粒料产量,7228.46
西南区 BAI YU FEI,0605内江正大,2020-03-01,1总产量颗粒料产量,11616.24
西南区 BAI YU FEI,0607双流正大,2020-03-01,1总产量颗粒料产量,4597.99
西南区 BAI YU FEI,0612绵阳正大,2020-03-01,1总产量颗粒料产量,19140.78
西南区 BAI YU FEI,0602重庆正大,2020-03-01,1总产量颗粒料产量,14281.97
西南区 BAI YU FEI,0609双桥正大,2020-03-01,1总产量颗粒料产量,11245.4
西南区 BAI YU FEI,0621贵阳正大,2020-03-01,1总产量颗粒料产量,11238.85
西南区 BAI YU FEI,0616广安正大,2020-03-01,1总产量颗粒料产量,9673.57
京津冀区 LI QING HE,0107石家庄正大,2020-03-01,1总产量颗粒料产量,6443.93
京津冀区 LI QING HE,0110邯郸正大,2020-03-01,1总产量颗粒料产量,1741.56
京津冀区 LI QING HE,0114天津农牧,2020-03-01,1总产量颗粒料产量,9388.996
