Year,Date,VarAll,ValueAll
2018,9/1/2020,3Actual,796.524
2019,9/1/2020,3Actual,743.194
2020,9/1/2020,3Actual,948.74709901
2005,10/1/2020,3Actual,464.5666920000001
2006,10/1/2020,3Actual,409.74026
2007,10/1/2020,3Actual,529.60866496
2008,10/1/2020,3Actual,463.6722922099999
2009,10/1/2020,3Actual,529.4301181200002
2010,10/1/2020,3Actual,515.5592792200001
2011,10/1/2020,3Actual,654.03735287
2012,10/1/2020,3Actual,581.2502390009998
2013,10/1/2020,3Actual,587.8135169999998
2014,10/1/2020,3Actual,609.5562759999997
2015,10/1/2020,3Actual,532.354
2016,10/1/2020,3Actual,618.058
2017,10/1/2020,3Actual,694.249
2018,10/1/2020,3Actual,763.9
2019,10/1/2020,3Actual,698.001
2020,10/1/2020,3Actual,947.5728298199997
2005,11/1/2020,3Actual,397.82040799999993
2006,11/1/2020,3Actual,446.71943400000004
2007,11/1/2020,3Actual,566.0578380499996
2008,11/1/2020,3Actual,414.27165369999994
2009,11/1/2020,3Actual,507.02799586
2010,11/1/2020,3Actual,475.88906251000014
2011,11/1/2020,3Actual,605.1988903000004
2012,11/1/2020,3Actual,558.8415175999999
2013,11/1/2020,3Actual,546.7880141
2014,11/1/2020,3Actual,565.5817410000001
2015,11/1/2020,3Actual,502.464
2016,11/1/2020,3Actual,661.643
2017,11/1/2020,3Actual,712.192
2018,11/1/2020,3Actual,718.058
2019,11/1/2020,3Actual,723.155
2020,11/1/2020,3Actual,891.0041326400001
2005,12/1/2020,3Actual,399.33392799999984
2006,12/1/2020,3Actual,423.007924
2007,12/1/2020,3Actual,427.30103562999994
2008,12/1/2020,3Actual,410.2704521
2009,12/1/2020,3Actual,499.53477624
2010,12/1/2020,3Actual,442.86560337000003
2011,12/1/2020,3Actual,599.5111338
2012,12/1/2020,3Actual,575.4011620000001
2013,12/1/2020,3Actual,559.682548
2014,12/1/2020,3Actual,567.781149
2015,12/1/2020,3Actual,533.088
2016,12/1/2020,3Actual,637.513
2017,12/1/2020,3Actual,705.322
2018,12/1/2020,3Actual,714.439
2019,12/1/2020,3Actual,728.547
2020,12/1/2020,3Actual,938.7544901900002
